id,start,end,computed,needs_recompute,num_retplayers,num_newplayers,num_games,dom_p,dom_t,dom_z
299,2021-07-29,2021-08-11,f,f,0,0,0,,,
300,2021-08-12,2021-08-25,f,f,0,0,0,,,
243,2019-06-06,2019-06-19,t,t,310,25,1562,0.902846748716758,0.987752169574184,1.10940108170906
233,2019-01-17,2019-01-30,t,f,637,112,4377,0.90824553755619,1.06646538147304,1.02528908097077
2,2010-03-11,2010-03-24,t,f,21,31,188,0.922511907126177,1.01850192580891,1.05898616706492
5,2010-04-22,2010-05-05,t,f,82,55,377,0.997637444130563,0.964731031021371,1.03763152484807
6,2010-05-06,2010-05-19,t,f,85,52,484,0.958670737348395,0.977608139761077,1.06372112289053
7,2010-05-20,2010-06-02,t,f,78,17,386,0.972778546256958,0.975713139300519,1.05150831444252
8,2010-06-03,2010-06-16,t,f,37,17,110,0.97017550725003,0.980458775348884,1.04936571740109
9,2010-06-17,2010-06-30,t,f,2,0,6,0.97017550725003,0.980458775348884,1.04936571740109
10,2010-07-01,2010-07-14,t,f,61,53,167,0.999117013120894,0.962938037247816,1.03794494963129
11,2010-07-15,2010-07-28,t,f,92,46,343,1.01773205015745,0.990566111243704,0.991701838598847
12,2010-07-29,2010-08-11,t,f,149,159,698,1.02315109289201,1.00548633845956,0.971362568648433
14,2010-08-26,2010-09-08,t,f,157,138,1021,1.0354851027736,1.01758165418549,0.946933243040917
31,2011-04-21,2011-05-04,t,f,404,80,2265,0.996345246778689,1.07668008820887,0.926974665012445
32,2011-05-05,2011-05-18,t,f,417,98,2003,0.990481460847893,1.07844388085451,0.931074658297597
33,2011-05-19,2011-06-01,t,f,426,64,1839,0.977222893270808,1.07074102188487,0.952036084844318
34,2011-06-02,2011-06-15,t,f,468,107,2310,0.946026340290024,1.10019405076639,0.95377960894359
35,2011-06-16,2011-06-29,t,f,508,104,2368,1.01165672977059,1.04153909825753,0.946804171971881
36,2011-06-30,2011-07-13,t,f,492,65,2291,0.981762291073385,1.05400664052997,0.964231068396642
3,2010-03-25,2010-04-07,t,f,35,70,280,0.971130845735965,0.983905556524135,1.0449635977399
37,2011-07-14,2011-07-27,t,f,444,70,2194,0.969554240976696,1.04080905317505,0.989636705848249
4,2010-04-08,2010-04-21,t,f,57,65,365,0.968801027769986,0.994401799548034,1.03679717268198
39,2011-08-11,2011-08-24,t,f,484,104,2252,0.914622170807701,1.11418003539965,0.97119779379265
1,2010-02-25,2010-03-10,t,f,0,47,143,0.966473496928373,0.976713151907477,1.05681335116415
41,2011-09-08,2011-09-21,t,f,446,30,1999,0.892642244685869,1.13216460514731,0.975193150166823
15,2010-09-09,2010-09-22,t,f,216,110,994,1.05812931926083,1.00858568279269,0.933284997946483
18,2010-10-21,2010-11-03,t,f,282,79,1264,1.0268789158425,1.00178097738912,0.971340106768376
23,2010-12-30,2011-01-12,t,f,293,76,1490,0.974125815302666,1.072648857129,0.953225327568337
183,2017-02-16,2017-03-01,t,f,541,33,2337,0.975618051799622,1.11210155672633,0.912280391474047
185,2017-03-16,2017-03-29,t,f,577,49,2608,0.939267080835739,1.0900910594583,0.970641859705965
186,2017-03-30,2017-04-12,t,f,579,55,3323,0.96532085418857,1.05551451992627,0.979164625885161
184,2017-03-02,2017-03-15,t,f,573,69,2941,0.955959857907171,1.11224626688962,0.931793875203208
187,2017-04-13,2017-04-26,t,f,524,46,2711,0.959854432058672,1.05999792139119,0.980147646550134
188,2017-04-27,2017-05-10,t,f,520,93,3104,0.946975141501921,1.07130148710788,0.981723371390197
189,2017-05-11,2017-05-24,t,f,566,80,3167,0.933988435705147,1.08627610756223,0.979735456732627
190,2017-05-25,2017-06-07,t,f,553,69,3458,0.906049894599115,1.10632332105914,0.987626784341742
191,2017-06-08,2017-06-21,t,f,436,44,2831,0.850216821928189,1.12209893620483,1.02768424186698
192,2017-06-22,2017-07-05,t,f,424,65,2700,0.837824228880787,1.12791557763299,1.03426019348622
193,2017-07-06,2017-07-19,t,f,474,35,2666,0.835323279090008,1.12503284894009,1.0396438719699
194,2017-07-20,2017-08-02,t,f,482,62,2636,0.854542158467181,1.14176435090167,1.00369349063115
195,2017-08-03,2017-08-16,t,f,477,46,2887,0.855601139914865,1.12142013055382,1.02297872953131
196,2017-08-17,2017-08-30,t,f,453,43,2989,0.875348178888648,1.14601461994716,0.978637201164196
197,2017-08-31,2017-09-13,t,f,492,67,2925,0.909329123279207,1.13050470991833,0.960166166802468
198,2017-09-14,2017-09-27,t,f,538,61,3020,0.918231494497086,1.08931126281685,0.992457242686064
199,2017-09-28,2017-10-11,t,f,487,44,2837,0.910767304777962,1.07050553067722,1.01872716454482
200,2017-10-12,2017-10-25,t,f,467,47,2747,0.925625926838034,1.06372963171098,1.01064444145098
201,2017-10-26,2017-11-08,t,f,380,46,2020,0.910440620942029,1.0515728202961,1.03798655876187
202,2017-11-09,2017-11-22,t,f,450,54,2813,0.946176288264069,1.0269166693563,1.02690704237963
203,2017-11-23,2017-12-06,t,f,532,129,3151,0.983502868630959,0.958428175505746,1.05806895586329
204,2017-12-07,2017-12-20,t,f,536,112,3540,0.949357784589743,0.997439260295161,1.0532029551151
205,2017-12-21,2018-01-03,t,f,298,42,1525,0.977957569557676,0.979262156082959,1.04278027435936
207,2018-01-18,2018-01-31,t,f,642,111,3557,1.00914279543378,0.963716087402847,1.02714111716337
208,2018-02-01,2018-02-14,t,f,525,97,2937,1.01207168163714,0.950569444557069,1.03735887380579
209,2018-02-15,2018-02-28,t,f,613,142,3259,0.988510506676889,0.976993686240153,1.03449580708296
210,2018-03-01,2018-03-14,t,f,602,88,2943,0.969027137702158,0.962662639918886,1.06831022237896
211,2018-03-15,2018-03-28,t,f,642,95,3775,0.929461022437102,1.00614351858406,1.06439545897884
213,2018-04-12,2018-04-25,t,f,638,109,3205,0.927257378678104,1.03165952297352,1.04108309834838
214,2018-04-26,2018-05-09,t,f,683,127,3625,0.934783389393378,1.03853519045736,1.02668142014926
215,2018-05-10,2018-05-23,t,f,596,98,3146,0.930586387408294,1.043584488888,1.02582912370371
216,2018-05-24,2018-06-06,t,f,700,88,3390,0.937143749183169,1.03891881972127,1.02393743109556
217,2018-06-07,2018-06-20,t,f,692,89,4489,0.896831722019715,1.06077682170431,1.04239145627597
218,2018-06-21,2018-07-04,t,f,525,58,2948,0.875853901140443,1.06423871764303,1.05990738121653
219,2018-07-05,2018-07-18,t,f,590,65,3344,0.891506130681004,1.0568956226985,1.05159824662049
236,2019-02-28,2019-03-13,t,f,349,66,2111,0.88178005904656,1.01278444119288,1.10543549976056
237,2019-03-14,2019-03-27,t,f,391,70,2175,0.878216716330529,1.02558480710232,1.09619847656715
238,2019-03-28,2019-04-10,t,f,581,106,3349,0.897784680828697,1.00960326852267,1.09261205064863
206,2018-01-04,2018-01-17,t,f,547,97,2965,1.0151472324652,0.964114041057594,1.02073872647721
212,2018-03-29,2018-04-11,t,f,684,202,4984,0.943239932684798,1.00643647026766,1.05032359704754
220,2018-07-19,2018-08-01,t,f,691,130,4947,0.883839719314679,1.06520057702542,1.0509597036599
53,2012-02-23,2012-03-07,t,f,583,75,2586,0.878863519279702,1.12265454824497,0.998481932475325
54,2012-03-08,2012-03-21,t,f,614,139,2614,0.903887184147588,1.09363533059746,1.00247748525495
51,2012-01-26,2012-02-08,t,f,506,64,2208,0.876163336795512,1.13054568230494,0.993290980899551
48,2011-12-15,2011-12-28,t,f,396,34,2007,0.864570337733349,1.14770425624981,0.987725406016842
52,2012-02-09,2012-02-22,t,f,594,90,3168,0.872805228612952,1.11450374007785,1.0126910313092
42,2011-09-22,2011-10-05,t,f,498,71,2375,0.883286714136718,1.13491474684621,0.981798539017071
50,2012-01-12,2012-01-25,t,f,459,86,2060,0.860235943843794,1.14563107849327,0.994132977662931
46,2011-11-17,2011-11-30,t,f,562,100,3141,0.85150383690389,1.09350955333701,1.0549866097591
58,2012-05-03,2012-05-16,t,f,575,69,3095,0.926971653232742,1.09590279454931,0.977125552217952
65,2012-08-09,2012-08-22,t,f,477,68,1845,0.970787728787587,1.03347106280877,0.995741208403645
66,2012-08-23,2012-09-05,t,f,618,128,3092,0.952674566518631,1.00608533321767,1.0412401002637
45,2011-11-03,2011-11-16,t,f,439,63,2124,0.824464233997998,1.12303239412557,1.05250337187643
47,2011-12-01,2011-12-14,t,f,455,58,2414,0.855042166752917,1.14395852161833,1.00099931162875
55,2012-03-22,2012-04-04,t,f,535,91,3075,0.872570910648483,1.12813861720073,0.999290472150788
67,2012-09-06,2012-09-19,t,f,718,98,3143,0.96121538774865,0.974331001162838,1.06445361108851
63,2012-07-12,2012-07-25,t,f,634,70,3706,0.97661735445638,0.983506479696985,1.03987616584663
57,2012-04-19,2012-05-02,t,f,604,103,3292,0.906711665584537,1.09859927016732,0.994689064248145
132,2015-03-05,2015-03-18,t,f,573,51,2569,0.992124368896295,1.00201936450466,1.00585626659905
49,2011-12-29,2012-01-11,t,f,373,35,1451,0.891510018181002,1.11649794720386,0.991992034615141
68,2012-09-20,2012-10-03,t,f,545,37,2394,0.952110859741983,0.976516363696514,1.0713727765615
59,2012-05-17,2012-05-30,t,f,538,97,2356,0.921693359809835,1.06923095730657,1.00907568288359
64,2012-07-26,2012-08-08,t,f,587,82,2522,0.959234846011307,1.02809186627423,1.01267328771446
44,2011-10-20,2011-11-02,t,f,469,71,2593,0.855103895584865,1.11604540189553,1.02885070251961
60,2012-05-31,2012-06-13,t,f,583,88,2925,0.917320966474151,1.06724744223381,1.01543159129204
56,2012-04-05,2012-04-18,t,f,660,132,3740,0.902428124548934,1.10250690546605,0.995064969985015
61,2012-06-14,2012-06-27,t,f,613,104,4198,0.938825024818713,1.01945869668853,1.04171627849276
69,2012-10-04,2012-10-17,t,f,580,35,3226,0.98637020095594,0.938477797318745,1.07515200172532
89,2013-07-11,2013-07-24,t,f,703,71,3349,0.933439719174866,1.08163382562969,0.984926455195446
73,2012-11-29,2012-12-12,t,f,542,40,2460,1.06767099077953,0.899992968368282,1.03233604085219
127,2014-12-25,2015-01-07,t,f,564,46,2518,1.00051446552339,1.07292812445213,0.926557410024481
74,2012-12-13,2012-12-26,t,f,406,22,1457,1.03904354808301,0.907131210804962,1.05382524111203
135,2015-04-16,2015-04-29,t,f,591,71,2908,1.0350184907747,0.990651194746727,0.974330314478572
62,2012-06-28,2012-07-11,t,f,623,86,3460,0.965414507850186,0.99572298906814,1.03886250308167
77,2013-01-24,2013-02-06,t,f,657,76,2280,1.00474682965839,0.947389978956728,1.04786319138488
78,2013-02-07,2013-02-20,t,f,511,45,2233,0.990353530970117,0.947919063759138,1.06172740527074
128,2015-01-08,2015-01-21,t,f,795,114,5247,0.99458566480213,1.05108109930979,0.954333235888076
83,2013-04-18,2013-05-01,t,f,645,169,3151,0.980516268755607,0.9740222506205,1.04546148062389
84,2013-05-02,2013-05-15,t,f,531,47,2548,0.970267722089956,1.00626605053058,1.02346622737947
75,2012-12-27,2013-01-09,t,f,322,61,1045,1.00631053645672,0.918743782692237,1.07494568085104
85,2013-05-16,2013-05-29,t,f,457,34,1837,0.935120657460502,1.06967192504334,0.99520741749616
86,2013-05-30,2013-06-12,t,f,606,53,2508,0.953854538045762,1.05937043702221,0.986775024932033
79,2013-02-21,2013-03-06,t,f,510,35,2133,0.997367270183312,0.947072707862815,1.05556002195387
80,2013-03-07,2013-03-20,t,f,343,20,1337,1.00260828704348,0.951334635360912,1.04605707759561
90,2013-07-25,2013-08-07,t,f,573,28,2504,0.956765716933333,1.0696446208057,0.973589662260968
91,2013-08-08,2013-08-21,t,f,470,23,2052,0.924088164292406,1.10083097988905,0.975080855818547
92,2013-08-22,2013-09-04,t,f,478,28,2244,0.931966504224137,1.1036459287937,0.964387566982168
93,2013-09-05,2013-09-18,t,f,526,39,2818,0.968848146097026,1.08671950186425,0.944432352038727
94,2013-09-19,2013-10-02,t,f,624,47,2681,0.96167505734852,1.09452423110138,0.943800711550101
98,2013-11-14,2013-11-27,t,f,482,34,2208,0.950140913243737,1.10345754611439,0.946401540641876
99,2013-11-28,2013-12-11,t,f,401,13,2292,0.982186556706883,1.07671983225372,0.941093611039402
95,2013-10-03,2013-10-16,t,f,574,70,2752,0.945218911622012,1.12049927531705,0.934281813060939
